seed,round,train_loss,accuracy,f1,roc_auc,log_loss,method,selected_clients,mean_update_norm
7,1,0.00617879107723952,0.9230769230769231,0.9385474860335196,0.9844863731656185,0.18090765037524523,,,
7,1,0.19698600926579155,0.9090909090909091,0.9281767955801105,0.969392033542977,0.37563647669771133,FedAvg,7.0,0.44830200760320166
7,2,0.1435154674361609,0.9090909090909091,0.9281767955801105,0.9754716981132076,0.29650689896979576,FedAvg,7.0,0.28445455553551713
7,3,0.12947480004713266,0.9090909090909091,0.9273743016759777,0.9786163522012579,0.257347293018658,FedAvg,7.0,0.2232668325205956
7,4,0.11265399312996337,0.9090909090909091,0.9273743016759777,0.9807127882599582,0.23014138425135977,FedAvg,7.0,0.20333722236898102
7,5,0.0970172298021718,0.9090909090909091,0.9273743016759777,0.9805031446540882,0.21586338672987426,FedAvg,7.0,0.19447811534331289
7,6,0.08977022031060809,0.9090909090909091,0.9273743016759777,0.9821802935010483,0.20270007406563176,FedAvg,7.0,0.1650460309136937
7,7,0.08021697140066264,0.9090909090909091,0.9273743016759777,0.9821802935010483,0.19547745766361177,FedAvg,7.0,0.16508966045258386
7,8,0.07442376373957782,0.9090909090909091,0.9273743016759777,0.9825995807127883,0.18926744644835944,FedAvg,7.0,0.16483963026399476
7,9,0.06937391336753292,0.916083916083916,0.9333333333333333,0.9832285115303984,0.18539796975855855,FedAvg,7.0,0.15306481380776932
7,10,0.06883594560678795,0.9090909090909091,0.9273743016759777,0.9832285115303984,0.18177905322397936,FedAvg,7.0,0.13654712631622118
7,11,0.06235327375182752,0.916083916083916,0.9333333333333333,0.9842767295597484,0.17794852008642179,FedAvg,7.0,0.12968163771319885
7,12,0.0620164657766932,0.916083916083916,0.9333333333333333,0.9853249475890985,0.17410999080405085,FedAvg,7.0,0.12318134020280834
7,13,0.05898960788805831,0.916083916083916,0.9333333333333333,0.9853249475890986,0.17108972366018782,FedAvg,7.0,0.11873861515924365
7,14,0.05406646474006015,0.916083916083916,0.9333333333333333,0.9851153039832286,0.1694110807820989,FedAvg,7.0,0.11038027716592243
7,15,0.051316224660101564,0.916083916083916,0.9333333333333333,0.9849056603773585,0.16841862845740643,FedAvg,7.0,0.10571824427320402
7,16,0.05544176477882981,0.916083916083916,0.9333333333333333,0.9855345911949686,0.1660379072773515,FedAvg,7.0,0.10827104686751009
7,17,0.050787043517915305,0.916083916083916,0.9333333333333333,0.9855345911949686,0.1639376750247423,FedAvg,7.0,0.09910908876243577
7,18,0.05254397567165355,0.916083916083916,0.9333333333333333,0.9857442348008386,0.16331014451049622,FedAvg,7.0,0.103467830936675
7,19,0.0485562513371747,0.916083916083916,0.9333333333333333,0.9853249475890986,0.16214320201784868,FedAvg,7.0,0.10350767392009252
7,20,0.042726063097808194,0.916083916083916,0.9333333333333333,0.9853249475890986,0.16150572568894658,FedAvg,7.0,0.09543840755890863
7,21,0.04525767840367774,0.916083916083916,0.9333333333333333,0.9851153039832286,0.16022013523359185,FedAvg,7.0,0.09942889931298363
7,22,0.043915287240663244,0.916083916083916,0.9333333333333333,0.9853249475890986,0.16021836459642502,FedAvg,7.0,0.08991440704771977
7,23,0.04086911831167037,0.916083916083916,0.9333333333333333,0.9853249475890986,0.15884715963320553,FedAvg,7.0,0.09354707142083217
7,24,0.041588894115296364,0.916083916083916,0.9333333333333333,0.9853249475890986,0.15792476653221083,FedAvg,7.0,0.08877405076175268
7,25,0.042159657586534734,0.916083916083916,0.9333333333333333,0.9855345911949686,0.15729493268114164,FedAvg,7.0,0.07988456541806187
7,26,0.03844670676517022,0.916083916083916,0.9333333333333333,0.9853249475890986,0.15734866710173706,FedAvg,7.0,0.07919322167313296
7,27,0.041321851000251895,0.916083916083916,0.9333333333333333,0.9853249475890986,0.15779802888649963,FedAvg,7.0,0.08495131941382371
7,28,0.03479323528694766,0.916083916083916,0.9333333333333333,0.9859538784067086,0.1568316602311637,FedAvg,7.0,0.08715996084120474
7,29,0.034655507301012745,0.9230769230769231,0.9392265193370166,0.9857442348008386,0.15606041321899197,FedAvg,7.0,0.07238690088440174
7,30,0.034458543064653735,0.9230769230769231,0.9392265193370166,0.9853249475890986,0.15603974076389768,FedAvg,7.0,0.08435053762784185
7,1,0.19698600926579155,0.9090909090909091,0.9281767955801105,0.969392033542977,0.3756364766977118,Secure FedAvg,7.0,0.44830200760320166
7,2,0.14351546743616142,0.9090909090909091,0.9281767955801105,0.9754716981132076,0.2965068989697948,Secure FedAvg,7.0,0.2844545555355181
7,3,0.12947480004713313,0.9090909090909091,0.9273743016759777,0.9786163522012579,0.25734729301865605,Secure FedAvg,7.0,0.2232668325205971
7,4,0.11265399312996352,0.9090909090909091,0.9273743016759777,0.9807127882599582,0.2301413842513579,Secure FedAvg,7.0,0.20333722236898114
7,5,0.09701722980217196,0.9090909090909091,0.9273743016759777,0.9805031446540882,0.21586338672987151,Secure FedAvg,7.0,0.19447811534331286
7,6,0.08977022031060809,0.9090909090909091,0.9273743016759777,0.9821802935010483,0.20270007406562957,Secure FedAvg,7.0,0.16504603091369344
7,7,0.08021697140066264,0.9090909090909091,0.9273743016759777,0.9821802935010483,0.1954774576636078,Secure FedAvg,7.0,0.16508966045258316
7,8,0.07442376373957807,0.9090909090909091,0.9273743016759777,0.9825995807127883,0.1892674464483556,Secure FedAvg,7.0,0.1648396302639949
7,9,0.06937391336753353,0.916083916083916,0.9333333333333333,0.9832285115303984,0.18539796975855558,Secure FedAvg,7.0,0.15306481380776985
7,10,0.06883594560678823,0.9090909090909091,0.9273743016759777,0.9832285115303984,0.18177905322397686,Secure FedAvg,7.0,0.13654712631622198
7,11,0.06235327375182809,0.916083916083916,0.9333333333333333,0.9842767295597484,0.1779485200864191,Secure FedAvg,7.0,0.12968163771320038
7,12,0.06201646577669351,0.916083916083916,0.9333333333333333,0.9853249475890985,0.17410999080404851,Secure FedAvg,7.0,0.12318134020280876
7,13,0.05898960788805855,0.916083916083916,0.9333333333333333,0.9853249475890986,0.17108972366018477,Secure FedAvg,7.0,0.11873861515924476
7,14,0.0540664647400605,0.916083916083916,0.9333333333333333,0.9851153039832286,0.16941108078209563,Secure FedAvg,7.0,0.11038027716592287
7,15,0.05131622466010186,0.916083916083916,0.9333333333333333,0.9849056603773585,0.16841862845740346,Secure FedAvg,7.0,0.1057182442732043
7,16,0.055441764778830505,0.916083916083916,0.9333333333333333,0.9855345911949686,0.16603790727735007,Secure FedAvg,7.0,0.1082710468675105
7,17,0.05078704351791583,0.916083916083916,0.9333333333333333,0.9855345911949686,0.1639376750247414,Secure FedAvg,7.0,0.09910908876243658
7,18,0.052543975671654655,0.916083916083916,0.9333333333333333,0.9857442348008386,0.1633101445104959,Secure FedAvg,7.0,0.10346783093667636
7,19,0.04855625133717544,0.916083916083916,0.9333333333333333,0.9853249475890986,0.16214320201784807,Secure FedAvg,7.0,0.10350767392009357
7,20,0.0427260630978088,0.916083916083916,0.9333333333333333,0.9853249475890986,0.1615057256889465,Secure FedAvg,7.0,0.095438407558909
7,21,0.04525767840367863,0.916083916083916,0.9333333333333333,0.9851153039832286,0.16022013523359285,Secure FedAvg,7.0,0.09942889931298439
7,22,0.04391528724066373,0.916083916083916,0.9333333333333333,0.9853249475890986,0.16021836459642477,Secure FedAvg,7.0,0.08991440704772058
7,23,0.0408691183116713,0.916083916083916,0.9333333333333333,0.9853249475890986,0.15884715963320473,Secure FedAvg,7.0,0.09354707142083342
7,24,0.04158889411529667,0.916083916083916,0.9333333333333333,0.9853249475890986,0.1579247665322094,Secure FedAvg,7.0,0.0887740507617529
7,25,0.042159657586535136,0.916083916083916,0.9333333333333333,0.9855345911949686,0.15729493268113975,Secure FedAvg,7.0,0.07988456541806303
7,26,0.03844670676517048,0.916083916083916,0.9333333333333333,0.9853249475890986,0.1573486671017347,Secure FedAvg,7.0,0.07919322167313379
7,27,0.0413218510002525,0.916083916083916,0.9333333333333333,0.9853249475890986,0.15779802888649747,Secure FedAvg,7.0,0.08495131941382457
7,28,0.034793235286948034,0.916083916083916,0.9333333333333333,0.9859538784067086,0.15683166023116163,Secure FedAvg,7.0,0.08715996084120525
7,29,0.034655507301013015,0.9230769230769231,0.9392265193370166,0.9857442348008386,0.1560604132189899,Secure FedAvg,7.0,0.07238690088440349
7,30,0.03445854306465425,0.9230769230769231,0.9392265193370166,0.9853249475890986,0.15603974076389485,Secure FedAvg,7.0,0.0843505376278427
7,1,0.19698600926579155,0.9020979020979021,0.9230769230769231,0.9696016771488469,0.37409270959717217,DP-FedAvg (moderate),7.0,0.44830200760320166
7,2,0.14390207962434046,0.9300699300699301,0.9438202247191011,0.9725366876310272,0.3072261430477989,DP-FedAvg (moderate),7.0,0.2893937314232248
7,3,0.13340554003468383,0.9230769230769231,0.9378531073446328,0.9721174004192872,0.27760088656072823,DP-FedAvg (moderate),7.0,0.24231575446669312
7,4,0.1154580904856053,0.9230769230769231,0.9378531073446328,0.9805031446540882,0.23609140442402177,DP-FedAvg (moderate),7.0,0.219299293120867
7,5,0.10036506099474027,0.9230769230769231,0.9378531073446328,0.979874213836478,0.22067504761722792,DP-FedAvg (moderate),7.0,0.21088623215312105
7,6,0.08864813203702689,0.9230769230769231,0.9385474860335196,0.9815513626834382,0.2140896038864832,DP-FedAvg (moderate),7.0,0.1706815050991139
7,7,0.07984465296232164,0.9230769230769231,0.9378531073446328,0.9811320754716981,0.207786199207704,DP-FedAvg (moderate),7.0,0.16577142866036274
7,8,0.07630029590961888,0.9300699300699301,0.9438202247191011,0.9811320754716981,0.20248237175050826,DP-FedAvg (moderate),7.0,0.18416233013950908
7,9,0.07176997469634033,0.9230769230769231,0.9378531073446328,0.979664570230608,0.20641074771776377,DP-FedAvg (moderate),7.0,0.16738118363421806
7,10,0.07136972902483761,0.916083916083916,0.9325842696629213,0.978197064989518,0.21081094546282875,DP-FedAvg (moderate),7.0,0.1454661386854464
7,11,0.06620604913485773,0.9230769230769231,0.9392265193370166,0.9805031446540882,0.2019520225738024,DP-FedAvg (moderate),7.0,0.1407395611126221
7,12,0.06674473684942417,0.916083916083916,0.9333333333333333,0.9784067085953879,0.2078810390092881,DP-FedAvg (moderate),7.0,0.1439458665441738
7,13,0.06517430091509262,0.9300699300699301,0.9431818181818182,0.9819706498951782,0.19774575547822332,DP-FedAvg (moderate),7.0,0.14257573838585932
7,14,0.06165928163090377,0.9090909090909091,0.9273743016759777,0.9721174004192872,0.22683098633940954,DP-FedAvg (moderate),7.0,0.14070289835938196
7,15,0.05956600967666001,0.9090909090909091,0.9265536723163842,0.9685534591194969,0.23798441191958003,DP-FedAvg (moderate),7.0,0.13759911088331084
7,16,0.06218047730594272,0.8951048951048951,0.9142857142857143,0.969392033542977,0.23573687224898923,DP-FedAvg (moderate),7.0,0.12961740947476294
7,17,0.06011394845301339,0.8951048951048951,0.9132947976878613,0.9712788259958072,0.23183197838283612,DP-FedAvg (moderate),7.0,0.1337625837214807
7,18,0.0595099599788594,0.9020979020979021,0.9195402298850575,0.9754716981132077,0.21942002404793443,DP-FedAvg (moderate),7.0,0.12699590601805114
7,19,0.05651012706638785,0.8951048951048951,0.9142857142857143,0.9761006289308176,0.21253287768714177,DP-FedAvg (moderate),7.0,0.13683279874193968
7,20,0.055534238608465875,0.8881118881118881,0.9090909090909091,0.9752620545073376,0.20924709081745713,DP-FedAvg (moderate),7.0,0.13001472618189508
7,21,0.05440763395663639,0.8881118881118881,0.9080459770114943,0.9744234800838575,0.20583345574954554,DP-FedAvg (moderate),7.0,0.13391954983436777
7,22,0.054388535189748725,0.916083916083916,0.9340659340659341,0.9802935010482181,0.18991728113236467,DP-FedAvg (moderate),7.0,0.11997605775275792
7,23,0.04794841474045032,0.8951048951048951,0.9152542372881356,0.9771488469601678,0.2024071188813598,DP-FedAvg (moderate),7.0,0.11433479971148187
7,24,0.04842469070014663,0.8881118881118881,0.9090909090909091,0.9775681341719078,0.2015443339396729,DP-FedAvg (moderate),7.0,0.10403126171195536
7,25,0.05394162062460994,0.9020979020979021,0.9204545454545454,0.9798742138364781,0.19695006289340083,DP-FedAvg (moderate),7.0,0.1210858137377696
7,26,0.0471998165540419,0.8951048951048951,0.9152542372881356,0.9756813417190776,0.2132997700240837,DP-FedAvg (moderate),7.0,0.1106788572773869
7,27,0.04992647128062274,0.8881118881118881,0.9080459770114943,0.9752620545073376,0.21428939950878803,DP-FedAvg (moderate),7.0,0.1102871890613277
7,28,0.03987677729490222,0.9090909090909091,0.9257142857142857,0.9763102725366877,0.20715505755684208,DP-FedAvg (moderate),7.0,0.10416608746712792
7,29,0.04132035132907949,0.9020979020979021,0.9195402298850575,0.9775681341719078,0.21087429152267467,DP-FedAvg (moderate),7.0,0.10439208187164548
7,30,0.03766642530041751,0.9020979020979021,0.9204545454545454,0.9765199161425577,0.2092426984374093,DP-FedAvg (moderate),7.0,0.10560473456418316
7,1,0.19698600926579155,0.8041958041958042,0.8372093023255814,0.869182389937107,0.4652186654825927,DP-FedAvg (strong),7.0,0.44830200760320166
7,2,0.16087545527200095,0.7552447552447552,0.7878787878787878,0.859538784067086,0.5168085315949607,DP-FedAvg (strong),7.0,0.35617629650604854
7,3,0.17402147473057372,0.7692307692307693,0.7975460122699386,0.879664570230608,0.5305570253417893,DP-FedAvg (strong),7.0,0.3715483923047512
7,4,0.15956951253193966,0.8041958041958042,0.8292682926829268,0.9085953878406708,0.4469227298362079,DP-FedAvg (strong),7.0,0.35308101601090885
7,5,0.1490136878014299,0.8251748251748252,0.8484848484848485,0.9341719077568134,0.40245133391897525,DP-FedAvg (strong),7.0,0.34744038885683776
7,6,0.11595106758339391,0.8461538461538461,0.8705882352941177,0.9368972746331237,0.4100842084089937,DP-FedAvg (strong),7.0,0.2731208470064161
7,7,0.12211736703615411,0.8741258741258742,0.8941176470588236,0.941090146750524,0.4214202300872698,DP-FedAvg (strong),7.0,0.2594633946732487
7,8,0.1379887482254333,0.8181818181818182,0.8452380952380952,0.9333333333333333,0.45125570513948526,DP-FedAvg (strong),7.0,0.32488699387728476
7,9,0.1279844167508541,0.8181818181818182,0.8452380952380952,0.9253668763102725,0.4767764023440607,DP-FedAvg (strong),7.0,0.3008307603666817
7,10,0.14119052672204127,0.8181818181818182,0.8452380952380952,0.9157232704402516,0.5433305716119775,DP-FedAvg (strong),7.0,0.25762765104878677
7,11,0.1492587993625515,0.8321678321678322,0.8604651162790697,0.9155136268343815,0.5135953898166408,DP-FedAvg (strong),7.0,0.2757723885897655
7,12,0.14662172909793095,0.8391608391608392,0.8654970760233918,0.8943396226415095,0.6119047320524427,DP-FedAvg (strong),7.0,0.30439373267190356
7,13,0.15525844831411326,0.7972027972027972,0.8242424242424242,0.8970649895178198,0.6281470247232617,DP-FedAvg (strong),7.0,0.2929803793852076
7,14,0.15902675391183113,0.7342657342657343,0.7710843373493976,0.8572327044025158,0.8341358525493674,DP-FedAvg (strong),7.0,0.32602935002206374
7,15,0.17880572131370176,0.7482517482517482,0.7857142857142857,0.849266247379455,0.9441717654846541,DP-FedAvg (strong),7.0,0.3239158861962173
7,16,0.19669548810766863,0.7622377622377622,0.7951807228915663,0.8417190775681341,0.9624968650674874,DP-FedAvg (strong),7.0,0.28812400079748957
7,17,0.19287387082312096,0.7272727272727273,0.7664670658682635,0.860167714884696,0.9388575664449266,DP-FedAvg (strong),7.0,0.3130224857086485
7,18,0.18827564932008045,0.7552447552447552,0.7852760736196319,0.8781970649895179,0.8718574031799179,DP-FedAvg (strong),7.0,0.29879302790025425
7,19,0.1729210048663132,0.7272727272727273,0.7577639751552795,0.860167714884696,0.8529793563317781,DP-FedAvg (strong),7.0,0.36369048346025806
7,20,0.2001984672641443,0.7342657342657343,0.759493670886076,0.8605870020964361,0.8758704035055523,DP-FedAvg (strong),7.0,0.3219651725688086
7,21,0.17635135786127165,0.7622377622377622,0.7848101265822784,0.8773584905660377,0.7990104366403445,DP-FedAvg (strong),7.0,0.35802644917645365
7,22,0.18177281562837028,0.8041958041958042,0.8292682926829268,0.8962264150943396,0.7138913041007214,DP-FedAvg (strong),7.0,0.274341886868486
7,23,0.1560579825370353,0.7412587412587412,0.7672955974842768,0.8784067085953878,0.7998368594083535,DP-FedAvg (strong),7.0,0.27937261177885747
7,24,0.15980437423756147,0.7832167832167832,0.8074534161490683,0.8842767295597485,0.8097424574515983,DP-FedAvg (strong),7.0,0.23030072461847365
7,25,0.20577712978269258,0.7832167832167832,0.8098159509202454,0.8966457023060795,0.7930473134654517,DP-FedAvg (strong),7.0,0.2864834787380595
7,26,0.1748990966642505,0.7272727272727273,0.7577639751552795,0.8846960167714885,0.9038638319804749,DP-FedAvg (strong),7.0,0.2794163958588966
7,27,0.20111424801027852,0.7482517482517482,0.7721518987341772,0.8867924528301887,0.9339535942684225,DP-FedAvg (strong),7.0,0.25430126564597993
7,28,0.1233996649554476,0.8111888111888111,0.8343558282208589,0.9039832285115305,0.8373675017550983,DP-FedAvg (strong),7.0,0.2621160665592963
7,29,0.13431945097572717,0.8041958041958042,0.8271604938271605,0.9014675052410901,0.8581730095166532,DP-FedAvg (strong),7.0,0.2883949299101003
7,30,0.10837683827678157,0.8041958041958042,0.8271604938271605,0.909853249475891,0.8143146968772954,DP-FedAvg (strong),7.0,0.2647514323172759
7,1,0.1926397726533176,0.916083916083916,0.9333333333333333,0.9731656184486374,0.38434281626789907,GossipAvg,10.0,0.4471107210266392
7,2,0.143298781850216,0.916083916083916,0.9333333333333333,0.9744234800838575,0.3097321123756172,GossipAvg,10.0,0.2669079901962202
7,3,0.11416122039148265,0.9090909090909091,0.9273743016759777,0.9756813417190775,0.27508901522786544,GossipAvg,10.0,0.19794978317947667
7,4,0.09831471469365397,0.9090909090909091,0.9273743016759777,0.9777777777777779,0.2524626143996585,GossipAvg,10.0,0.16678921894074855
7,5,0.08714170678204772,0.9090909090909091,0.9273743016759777,0.9788259958071279,0.23701947311292937,GossipAvg,10.0,0.1455541980393962
7,6,0.07892069859210152,0.9090909090909091,0.9273743016759777,0.9811320754716981,0.225421370278006,GossipAvg,10.0,0.13352634125047289
7,7,0.07174712312583482,0.9090909090909091,0.9273743016759777,0.9809224318658282,0.21627367530656855,GossipAvg,10.0,0.12662317299904838
7,8,0.06772810251748854,0.9090909090909091,0.9273743016759777,0.9813417190775682,0.20862219650028108,GossipAvg,10.0,0.11259960051324411
7,9,0.06266384136352345,0.9090909090909091,0.9273743016759777,0.9811320754716981,0.20297048044475888,GossipAvg,10.0,0.11394854567686633
7,10,0.05932391330407381,0.9090909090909091,0.9273743016759777,0.9815513626834382,0.19817206818233146,GossipAvg,10.0,0.1056951443119375
7,11,0.05674516425979835,0.9090909090909091,0.9273743016759777,0.9819706498951782,0.19371821819457907,GossipAvg,10.0,0.09689763626086167
7,12,0.05421593704778047,0.9090909090909091,0.9273743016759777,0.9830188679245284,0.1898129128236097,GossipAvg,10.0,0.09245502815306711
7,13,0.05154337940076727,0.9090909090909091,0.9273743016759777,0.9832285115303984,0.18597864470905887,GossipAvg,10.0,0.0929478620252601
7,14,0.04985352312012735,0.9090909090909091,0.9273743016759777,0.9832285115303984,0.18300255875312463,GossipAvg,10.0,0.08657135222946673
7,15,0.04799384237687364,0.9090909090909091,0.9273743016759777,0.9832285115303984,0.18070221539604617,GossipAvg,10.0,0.08457103628828133
7,16,0.04633070954203493,0.9090909090909091,0.9273743016759777,0.9834381551362684,0.17845384313055684,GossipAvg,10.0,0.08329477363253285
7,17,0.0448969859706534,0.9090909090909091,0.9273743016759777,0.9836477987421384,0.17645768894718344,GossipAvg,10.0,0.08010300376368858
7,18,0.04380699429345249,0.9090909090909091,0.9273743016759777,0.9840670859538785,0.1746926950675101,GossipAvg,10.0,0.07522081398650571
7,19,0.042074764926836664,0.916083916083916,0.9325842696629213,0.9840670859538785,0.17317257848229625,GossipAvg,10.0,0.07914889404025702
7,20,0.04123842682776198,0.916083916083916,0.9325842696629213,0.9840670859538785,0.1717635853059805,GossipAvg,10.0,0.07344213045927787
7,21,0.03990210976762429,0.916083916083916,0.9325842696629213,0.9840670859538785,0.1704190486983125,GossipAvg,10.0,0.0741015840223794
7,22,0.03875072241956843,0.9230769230769231,0.9385474860335196,0.9842767295597484,0.16867503655230656,GossipAvg,10.0,0.07511344042705832
